施設名,パートナー,所在地,カテゴリ,金額,金額（税抜・万円/年）,状況,住所,GoogleMap,GoogleマップURL,経度,緯度,契約期間（年）,契約期間(詳細）,掲載元URL,備考,,,,,,,,
郡山市【開成山陸上競技場】（愛称：郡山ヒロセ開成山陸上競技場）,郡山ヒロセ電機株式会社,福島県,スポーツ施設,年額220万円（税抜）,220,契約期間中,福島県郡山市開成1-5-12,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市開成1-5-12,140.3604631,37.3979172,7,7年（2025年4月1日～2032年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山カルチャーパーク】（愛称：ＡＧＣエレクトロニクス郡山カルチャーパーク）,ＡＧＣエレクトロニクス株式会社,福島県,文化交流施設,年額300万円（税抜）,300,契約期間中,福島県郡山市安積町成田字東丸山61,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市安積町成田字東丸山61,140.3294775,37.3669937,3,3年（2024年4月1日～2027年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山市ふれあい科学館】（愛称：高柳電設工業スペースパーク）,高柳電設工業株式会社,福島県,文化交流施設,年額210万円（税抜）,210,契約期間中,福島県郡山市駅前2-11-1 ビッグアイ20階-24階,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市駅前2-11-1 ビッグアイ20階-24階,140.3882699,37.3998671,5,5年（2024年4月1日～2029年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【西部サッカー場】（愛称：仙台大学サッカーフィールド郡山）,学校法人朴沢学園 仙台大学,福島県,スポーツ施設,年額180万円（税抜）,180,契約期間中,福島県郡山市大槻町字横山26,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市大槻町字横山26,140.3013896,37.3961196,5,5年（2024年4月1日～2029年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山市麓山地区立体駐車場】（愛称：太陽メンテナンス麓山立体駐車場）,株式会社太陽メンテナンス,福島県,交通・インフラ,年額50万円（税抜）,50,契約期間中,福島県郡山市麓山1-167-1,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市麓山1-167-1,140.3746396,37.3952199,5,5年（2024年4月1日～2029年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【郡山市東部森林公園】（愛称：タイセークリーン東部森林公園）,株式会社タイセークリーン,福島県,公園・屋外空間,年額50万円（税抜）,50,契約期間中,福島県郡山市田村町金沢大六149?1,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市田村町金沢大六149?1,140.4563605,37.3386314,5,5年（2024年4月1日～2029年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【島歩道橋】（愛称：夢住まい館 島歩道橋）,株式会社リプロ東日本,福島県,交通・インフラ,年額30万円（税抜）,30,契約期間中,福島県郡山市田村町金沢大六149?1 郡山市島一丁目 新さくら通り（市道桑野大槻線）,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市田村町金沢大六149?1 郡山市島一丁目 新さくら通り（市道桑野大槻線）,140.3475384,37.3990776,5,5年（2024年4月1日～2029年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,なし,,,,,,,,
郡山市【郡山市中央図書館】（愛称：アサカ理研 郡山中央図書館）,株式会社アサカ理研,福島県,教育施設等,年額200万円（税抜）,200,契約期間中,福島県郡山市麓山1-5-25,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市麓山1-5-25,140.374326,37.3938578,5,5年（2025年4月1日～2030年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【大安場史跡公園】（愛称：蔭山工務店大安場史跡パーク）,株式会社蔭山工務店,福島県,公園・屋外空間,年額120万円（税抜）,120,契約期間中,福島県郡山市田村町大善寺字大安場160,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市田村町大善寺字大安場160,140.4025531,37.3562424,5,5年（2025年4月1日～2030年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
郡山市【小原田歩道橋】（愛称：福島ニチレキ 小原田歩道橋）,福島ニチレキ株式会社,福島県,交通・インフラ,年額31万円（税抜）,31,契約期間中,福島県郡山市小原田三丁目 東部幹線（市道日出山久保田線）,地図を見る,https://www.google.co.jp/maps/search/福島県郡山市小原田三丁目 東部幹線（市道日出山久保田線）,140.3848981,37.3773423,5,5年（2025年4月1日～2030年3月31日）,https://www.city.koriyama.lg.jp/uploaded/attachment/105170.pdf,応募資格：郡山市と関わりが深い法人格を有する団体,,,,,,,,
